Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Twitter,ВКонтакте,YouTube,Skype,Широта,Долгота,2GIS URL
Grill Go,,Быстрое питание,"Белинского, 8/1",,660032,,Советский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 11:00-21:00; Вт: 11:00-21:00; Ср: 11:00-21:00; Чт: 11:00-21:00; Пт: 11:00-21:00; Сб: 11:00-21:00; Вс: 11:00-21:00,+07:00,89535921825,,,grill.go24@gmail.com,,,,,https://vk.com/club208638966,,,56.019667,92.899444,https://2gis.com/firm/70000001034592207
GRILL-БУФЕТ,кафе с настоящим грилем,Быстрое питание; Столовые; Кафе; Кофейни,"Гайдашовка, 5 ст1/1",1 этаж,660131,Северный,Советский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00,+07:00,83912069944,89029222711,,dostavka@salamis.ru,,http://грильбуфет.рф,,,,,,56.067954,92.949542,https://2gis.com/firm/70000001034818396
Royal Grill,служба доставки шашлыка,Быстрое питание; Кафе; Доставка готовых блюд,"Полтавская, 38/13",,660012,Пашенный,Свердловский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 11:00-01:00; Вт: 11:00-01:00; Ср: 11:00-01:00; Чт: 11:00-01:00; Пт: 11:00-01:00; Сб: 11:00-01:00; Вс: 11:00-01:00,+07:00,83912097799,,,,,http://royalgrill.online,,,https://vk.com/royal_grill,,,55.985392,92.870491,https://2gis.com/firm/70000001053020598
Сытый шашлык,служба доставки шашлыков,Быстрое питание; Доставка готовых блюд; Кафе; Кулинарии,"60 лет Октября, 136/3",,660079,,Свердловский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+07:00,83912315566,89130315566,,,,http://sitiyshashlik.2gis.biz,http://vk.link/shashlikkrsk,,https://vk.com/shashlikkrsk,,,55.985602,92.912486,https://2gis.com/firm/70000001047610525
Лаваш&мясо,,Быстрое питание,"Красномосковская, 32/1",,660018,,Железнодорожный район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+07:00,89135162503,,,,,,,,,,,56.018619,92.821632,https://2gis.com/firm/70000001062328860
555,шашлычная,Доставка готовых блюд; Быстрое питание,"Любы Шевцовой, 85а/1",,660056,Покровка,Центральный район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-01:00; Вт: 10:00-01:00; Ср: 10:00-01:00; Чт: 10:00-01:00; Пт: 10:00-01:00; Сб: 10:00-01:00; Вс: 10:00-01:00,+07:00,89835761235,83912148270,,,,http://шашлычная-555.рф,,,,,,56.038147,92.863422,https://2gis.com/firm/70000001060131738
Шаурмечная #1,,Быстрое питание; Доставка готовых блюд; Кафе; Рестораны,"Комсомольский проспект, 1к/1",,660118,,Советский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 10:00-01:00; Сб: 10:00-01:00; Вс: 00:00-24:00,+07:00,89029276454,,,shawa1krsk@gmail.com,,,,,,,,56.058885,92.938185,https://2gis.com/firm/70000001055067470
Subway,,Быстрое питание,"Бограда, 134",1 этаж,660021,,Железнодорожный район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+07:00,89233097340,,,info@subways.online,,http://www.subway.ru,,,https://vk.com/subwayrussia,https://youtube.com/channel/UCZztqHMZ0Y014Mw_r-aqAkA,,56.006844,92.835639,https://2gis.com/firm/985690699481662
Time To Meat,гриль-бар,Быстрое питание; Доставка готовых блюд,"проспект Мира, 94г",,660017,,Центральный район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-23:00; Сб: 12:00-23:00; Вс: 12:00-23:00,+07:00,89233333173,89233088666,83912153866,time_to_meat@mail.ru,,http://timetomeat.ru,,,https://vk.com/timetomeat,,,56.012239,92.862101,https://2gis.com/firm/70000001038717460
Kannam Chicken,кафе корейской кухни,Кафе; Доставка готовых блюд; Быстрое питание,"Высотная, 2ж/1",,660062,,Октябрьский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 08:00-03:00; Вт: 08:00-03:00; Ср: 08:00-03:00; Чт: 08:00-03:00; Пт: 08:00-03:00; Сб: 08:00-03:00; Вс: 08:00-03:00,+07:00,83912009010,,,otziv@kannam.ru,,http://krasnoyarsk.kannam.ru/?utm_source=2gis,,,https://vk.com/krsk.kannam,https://youtube.com/channel/UCzRPMFYLoIOSyPROT-yrmLA,,56.020147,92.793404,https://2gis.com/firm/70000001045417343
Шашлычный двор,служба доставки еды,Доставка готовых блюд; Кафе; Быстрое питание,"Аэровокзальная, 16а",,660022,Взлётка,Советский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 09:00-02:00; Вт: 09:00-02:00; Ср: 09:00-02:00; Чт: 09:00-02:00; Пт: 09:00-02:00; Сб: 09:00-02:00; Вс: 09:00-02:00,+07:00,83912804466,,,kupecmt@bk.ru,,,,,https://vk.com/shashlichnyidvor,,,56.032191,92.906162,https://2gis.com/firm/70000001036237085
Шматик,"служба доставки шашлыка, пиццы и суши",Доставка готовых блюд; Кафе; Быстрое питание; Пиццерии; Суши-бары / рестораны,"Абытаевская, 12",,660020,Покровский,Центральный район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 09:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+07:00,83912754660,,,2086500@mail.ru,,http://shmatik.ru,,,https://vk.com/shmatik.cafe,,,56.042228,92.883884,https://2gis.com/firm/70000001039574842
Додо Пицца,сеть пиццерий,Доставка готовых блюд; Пиццерии; Быстрое питание,"Карамзина, 20а",2 этаж,660012,Пашенный,Свердловский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+07:00,88003020060,,,feedback@dodopizza.com,,http://dodopizza.onelink.me/YlkM?pid=2GIS&af_web_dp=https%3A%2F%2Fdodopizza.ru%2F%3Futm_source%3D2gis%26utm_medium%3Dbanner%26utm_campaign%3Dpremium_card&c=2GIS.maps&af_dp=dodo%3A%2F%2Fmain&af_click_lookback,,,https://vk.com/dodokrsk,https://youtube.com/c/DodoPizzaRussia,,55.988601,92.852499,https://2gis.com/firm/70000001033955898
Шашлык online,служба доставки готовых блюд,Доставка готовых блюд; Быстрое питание,"Северное шоссе, 17к",1 этаж,660118,,Центральный район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-22:30; Вт: 10:00-22:30; Ср: 10:00-22:30; Чт: 10:00-22:30; Пт: 10:00-22:30; Сб: 10:00-22:30; Вс: 10:00-22:30,+07:00,83912713671,,,,,http://24shashlik.ru/?utm_source=2gis&utm_medium=cpc&utm_campaign=shashlik,,,https://vk.com/24shashlik,,,56.074754,92.925202,https://2gis.com/firm/985691699820372
Суши-ням,"служба доставки суши, пиццы и еды в коробочках",Доставка готовых блюд; Быстрое питание,"Комсомольский проспект, 18",1 этаж,660125,Северный,Советский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 11:00-22:00; Вт: 11:00-22:00; Ср: 11:00-22:00; Чт: 11:00-22:00; Пт: 11:00-22:00; Сб: 11:00-22:00; Вс: 11:00-22:00,+07:00,83912972211,,,repido@list.ru,,http://сушиням24.рф,,,https://vk.com/sushi_nyam,,,56.066805,92.927519,https://2gis.com/firm/70000001037313789
ШАШЛЫК МЕЧТЫ,,Быстрое питание; Доставка готовых блюд; Кафе,"Высотная, 2ж/1",,660062,,Октябрьский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-03:00; Сб: 11:00-03:00; Вс: 11:00-24:00,+07:00,83912097733,89832697733,,kris06.09@mail.ru,,,,,,,,56.0201,92.793316,https://2gis.com/firm/70000001056686305
Sushi room,,Доставка готовых блюд; Быстрое питание,"улица Михаила Годенко, 4",супермаркет Пятёрочка,660100,,Октябрьский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+07:00,89130301155,,,,,http://sushiroom24.ru,,,https://vk.com/sushiroom24krsk,,,56.015711,92.800176,https://2gis.com/firm/70000001060737942
Кинза,чебуречная,Быстрое питание; Доставка готовых блюд; Кафе,"проспект Мира, 53",1 этаж,660049,,Центральный район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+07:00,83912884505,,,,,http://kinza-kras.ru,,,https://vk.com/kinza_cafe,,,56.011988,92.873572,https://2gis.com/firm/985690700664706
Вкусно — и точка,сеть предприятий общественного питания,Быстрое питание,"Волочаевская, 44",1 этаж,660100,Николаевка,Октябрьский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+07:00,83919864428,,,,,http://vkusnoitochka.ru,,,https://vk.com/vkusno_itocka_sibir,,,56.011822,92.806578,https://2gis.com/firm/70000001035874801
Дочь мясника,бургерная,Быстрое питание; Доставка готовых блюд,"Республики, 44",1 этаж,660099,,Центральный район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+07:00,83912002007,,,,,,,,,,,56.016591,92.848833,https://2gis.com/firm/70000001033568817
Xianggang,кафе уличной кухни Азии,Быстрое питание; Доставка готовых блюд,"Новосибирская, 9а/2",1 этаж,660018,,Железнодорожный район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 12:00-22:00; Вт: 12:00-22:00; Ср: 12:00-22:00; Чт: 12:00-22:00; Пт: 12:00-22:00; Сб: 12:00-22:00; Вс: 12:00-22:00,+07:00,83912584545,,,,,http://xianggang.ru,,,https://vk.com/xianggang.street,,,56.018297,92.819828,https://2gis.com/firm/70000001038845114
Вкусно — и точка,сеть предприятий общественного питания,Быстрое питание,"Перенсона, 4",,660049,,Центральный район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 07:00-23:30; Вт: 07:00-23:30; Ср: 07:00-23:30; Чт: 07:00-23:30; Пт: 07:00-23:30; Сб: 07:00-23:30; Вс: 07:00-23:30,+07:00,83919864421,,,,,http://vkusnoitochka.ru,,,https://vk.com/vkusno_itocka_sibir,,,56.009467,92.867602,https://2gis.com/firm/70000001034575786
Vo gan udon,лапшичная,Доставка готовых блюд; Быстрое питание,"проспект Мира, 65",1 этаж,660049,,Центральный район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 11:30-21:00; Вт: 11:30-21:00; Ср: 11:30-21:00; Чт: 11:30-21:00; Пт: 11:30-22:00; Сб: 11:30-22:00; Вс: 11:30-22:00,+07:00,89130343080,,,,,,,,,,,56.011765,92.868222,https://2gis.com/firm/70000001037872067
Ситишеф,кафе быстрого питания,Быстрое питание,"Бограда, 144а/1",,660021,,Железнодорожный район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+07:00,89631919933,,,,,,,,,,,56.00668,92.833544,https://2gis.com/firm/70000001055478342
3в1,бар,Быстрое питание; Бары,"Карла Маркса, 102Б",,660017,,Центральный район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Ср: 17:00-02:00; Чт: 17:00-02:00; Пт: 17:00-04:00; Сб: 17:00-04:00; Вс: 17:00-24:00,+07:00,89535935729,,,,,,,,,,,56.010732,92.860465,https://2gis.com/firm/70000001062796155
Dog osminog,,Быстрое питание,"проспект Мира, 65",1 этаж,660049,,Центральный район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-21:00,+07:00,83912153300,,,,,http://dog-osminog.ru/category/burgery,,,https://vk.com/seabass_group,,,56.011776,92.86843,https://2gis.com/firm/70000001046877380
KFC,сеть ресторанов быстрого обслуживания,Быстрое питание; Доставка готовых блюд,"Красной Армии, 10",1 этаж,660017,,Центральный район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+07:00,84952408424,,,,,http://kfc.ru/?utm_source=2gis_mgcom&utm_medium,,,https://vk.com/kfcrussia,,,56.014032,92.856517,https://2gis.com/firm/70000001038854447
Чебурекми,чебуречная,Быстрое питание; Доставка готовых блюд,"Карла Маркса, 102в",,660017,,Центральный район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+07:00,83912088780,,,,,http://cheburek.me,,,https://vk.com/cheburek_me_krsk,,,56.010396,92.860781,https://2gis.com/firm/70000001059950247
Kitchen lab,служба доставки готовых блюд,Доставка готовых блюд; Быстрое питание,"Дубровинского, 45а/1",3 этаж,660017,,Центральный район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+07:00,83912595909,,,,,http://kitchenlab.city,,,https://vk.com/id694559104,,,56.005098,92.853567,https://2gis.com/firm/70000001042590015
Chicken dener,сеть кафе быстрого питания,Быстрое питание,"Ленина, 112",,660017,,Центральный район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+07:00,88005000007,,,bridov@list.ru,otdel-kachestvo@mail.ru,http://chickendener.ru,,,https://vk.com/chiken_dener,,,56.012944,92.857406,https://2gis.com/firm/70000001035215311
Level up,фитнес бар,Быстрое питание; Бары,"Республики, 47",,660099,,Железнодорожный район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+07:00,83912051627,,,,,,,,,,,56.015906,92.844814,https://2gis.com/firm/70000001053440353
KFC,сеть ресторанов быстрого обслуживания,Быстрое питание; Доставка готовых блюд,"Маерчака, 22",,660075,,Железнодорожный район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+07:00,84952408424,84952408424,,,,http://kfc.ru/?utm_source=2gis_mgcom&utm_medium,,,https://vk.com/kfcrussia,,,56.023438,92.835185,https://2gis.com/firm/70000001043790847
Магазин по продаже шаурмы в булке,,Быстрое питание,"Горького, 53/1",,660099,,Железнодорожный район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-02:00; Вт: 10:00-02:00; Ср: 10:00-02:00; Чт: 10:00-02:00; Пт: 10:00-02:00; Сб: 10:00-02:00; Вс: 10:00-02:00,+07:00,89135676139,,,,,,,,,,,56.016132,92.847072,https://2gis.com/firm/70000001039048106
Бургеркит,кафе быстрого питания,Быстрое питание; Доставка готовых блюд,"Карла Маркса, 123",,660049,,Центральный район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+07:00,83912496564,,,,,http://burgerkit.ru,,,https://vk.com/burgerwhale,,,56.009617,92.867972,https://2gis.com/firm/70000001024050035
Chicken dener,сеть кафе быстрого питания,Быстрое питание,"Маерчака, 8/2",,660075,,Железнодорожный район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+07:00,88005000007,,,bridov@list.ru,otdel-kachestvo@mail.ru,http://chickendener.ru,,,https://vk.com/chiken_dener,,,56.019464,92.838246,https://2gis.com/firm/70000001059122368
Бургер Кинг,сеть ресторанов быстрого питания,Быстрое питание; Доставка готовых блюд,"Карла Маркса, 123",1 этаж,660049,,Центральный район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 09:00-23:50; Вт: 09:00-23:50; Ср: 09:00-23:50; Чт: 09:00-23:50; Пт: 09:00-23:50; Сб: 09:00-23:50; Вс: 09:00-23:59,+07:00,84955445000,,,feedback@burgerking.ru,,http://burgerkingrus.ru,,,https://vk.com/burgerking,https://youtube.com/user/BurgerKingRU,,56.009388,92.868642,https://2gis.com/firm/70000001040991504
Вкусно — и точка,сеть предприятий общественного питания,Быстрое питание,"Волочаевская, 44",,660100,Николаевка,Октябрьский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,"Пн: 00:00-04:00, 05:00-24:00; Вт: 00:00-04:00, 05:00-24:00; Ср: 00:00-04:00, 05:00-24:00; Чт: 00:00-04:00, 05:00-24:00; Пт: 00:00-04:00, 05:00-24:00; Сб: 00:00-04:00, 05:00-24:00; Вс: 00:00-04:00, 05:00-24:00",+07:00,83919864428,,,,,http://vkusnoitochka.ru,,,https://vk.com/vkusno_itocka_sibir,,,56.011822,92.806578,https://2gis.com/firm/70000001044489036
Чебурекми,,Быстрое питание; Доставка готовых блюд,"Ладо Кецховели, 26/2",,660001,,Железнодорожный район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+07:00,89039888851,,,,,,,,https://vk.com/cheburek_me_krsk,,,56.014145,92.813623,https://2gis.com/firm/70000001059081391
Cheski,,Быстрое питание,"Ады Лебедевой, 93в",1 этаж,660017,,Центральный район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+07:00,89233249113,,,,,,,,,,,56.015116,92.853635,https://2gis.com/firm/70000001039048396
Чебурекми,чебуречная,Быстрое питание; Доставка готовых блюд,"проспект Мира, 91а",1 этаж,660017,,Центральный район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+07:00,83912808780,,,,,http://cheburek.me,,,https://vk.com/cheburek_me_krsk,,,56.010934,92.855559,https://2gis.com/firm/70000001054159656
Мексиканец в кустах,мексиканская закусочная,Быстрое питание,"проспект Мира, 94г",,660017,,Центральный район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+07:00,,,,,,,,,,,,56.012094,92.862043,https://2gis.com/firm/70000001061099349
ЧебурекМи,,Быстрое питание,"Горького, 53/1",,660099,,Железнодорожный район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+07:00,89082232312,,,,,http://cheburek.me,,,,,,56.016132,92.847072,https://2gis.com/firm/70000001055393078
Самарканд,кафе,Доставка готовых блюд; Быстрое питание,"Академика Киренского, 89",1 этаж,660041,,Октябрьский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 09:00-19:00,+07:00,89233948999,,,,,,,,,,,56.019425,92.796965,https://2gis.com/firm/70000001041328391
